Transitoin Probabilities
P(X_t+1)=c | X_t=r) 0.00469422911283
P(X_t+1)=b | X_t=r) 0.00120585701981
P(X_t+1)=e | X_t=r) 0.226787252369
P(X_t+1)=d | X_t=r) 0.0198105081826
P(X_t+1)=g | X_t=r) 0.00818260120586
P(X_t+1)=f | X_t=r) 0.00120585701981
P(X_t+1)=i | X_t=r) 0.125624461671
P(X_t+1)=h | X_t=r) 0.00120585701981
P(X_t+1)=k | X_t=r) 0.00120585701981
P(X_t+1)=j | X_t=r) 4.30663221361e-05
P(X_t+1)=m | X_t=r) 0.0244616709733
P(X_t+1)=l | X_t=r) 0.0198105081826
P(X_t+1)=o | X_t=r) 0.0872523686477
P(X_t+1)=n | X_t=r) 0.022136089578
P(X_t+1)=q | X_t=r) 4.30663221361e-05
